ticker,cluster_date,n_insiders,has_ceo,has_cfo,dd_52w,abnormal_5d
MCHX,2021-01-04,3,True,True,-49.87593360391968,-3.30947302950786
KFS,2021-01-04,6,True,True,-0.21185916290626938,2.1394355145616832
CODI,2021-01-05,7,False,False,-15.687723332532466,3.2582841917103726
EYEG,2021-01-08,3,False,False,,-0.6797404919499733
ALDX,2021-01-11,3,False,False,-0.6789587356887616,22.43907553268183
GTX,2021-01-11,7,False,False,-40.79456868010705,-0.2909164700042806
RILY,2021-01-13,4,True,False,0.0,-4.696042750481266
CGEM,2021-01-14,15,True,True,,7.838064243125206
AFRM,2021-01-15,7,False,False,,0.0247650376420089
PRKA,2021-01-15,4,False,False,-10.416666666666663,-8.492657693665429
DXLG,2021-01-19,5,True,True,-68.99224668302453,36.02606350042221
BRN,2021-01-20,3,False,False,0.0,-12.373840605693054
CMCT,2021-01-21,4,False,False,-7.8024899132290155,-13.928016689797134
HBB,2021-01-26,20,False,False,-21.419639142037138,3.2309301174163942
HY,2021-01-26,20,False,False,-1.807238067192174,4.243948874336205
UONE,2021-01-26,3,False,False,-83.9393941495701,-2.76906194735016
GRBK,2021-01-27,5,False,False,-21.213351782427438,2.032477707415137
DFH,2021-01-27,6,False,True,,25.09607179937516
PDO,2021-01-28,10,False,False,,-3.0021040194661053
VYNE,2021-02-01,3,False,False,-58.40867877727649,2.9748821968999555
TRIN,2021-02-02,6,True,False,,1.4179957896402031
BKSC,2021-02-02,4,False,False,-9.482401941478535,7.223963905454164
DCOM,2021-02-04,10,False,False,-9.536325093267372,5.0653946847004185
EVLO,2021-02-04,8,False,False,-16.075265535744286,-5.011537967178525
ONTF,2021-02-05,6,False,False,,-11.16153119853702
TERN,2021-02-09,14,False,False,,-3.7447043149685526
SOWG,2021-02-09,5,False,True,-29.518072289156628,-0.5921761981556944
NOG,2021-02-09,6,False,False,-27.21209263065806,-8.332106151343437
VOR,2021-02-09,10,False,False,,12.48211230630859
BOLT,2021-02-09,13,True,True,,-7.366928459297107
KLDO,2021-02-10,7,False,False,-34.54220910438073,-11.743111150149309
COTY,2021-02-16,3,False,False,-37.78163039798053,10.337110167181184
TLIS,2021-02-19,10,False,True,,-16.475676099056066
NEXI,2021-02-19,3,False,False,,10.315163377006682
ATEX,2021-02-19,9,False,True,-22.94737163342928,-0.1357883399249548
CRVS,2021-02-19,4,True,False,-29.981376711485808,-22.12782798199645
APLT,2021-02-19,3,False,False,,-1.3556070390550334
TELA,2021-02-23,4,False,False,-31.313581097998412,-4.727407296400139
CWH,2021-03-03,4,False,False,-21.811027751106195,15.58370847893912
ADC,2021-03-03,4,True,True,-15.331926416782904,0.1805826630245981
TDY,2021-03-04,3,True,False,-9.999756462994025,-1.6223380282917896
SPT,2021-03-04,11,False,False,-31.037022482491583,6.895866035311249
EPD,2021-03-05,3,False,False,0.0,-1.585590321604017
KBNT,2021-03-08,3,False,False,-51.90194341575347,19.24310531983176
BH,2021-03-08,4,False,False,-3.0361961167203355,1.885292697985277
TWLVU,2021-03-09,3,False,False,,0.4759387392280082
SNOW,2021-03-09,7,False,False,-41.02051172501001,0.5899468249710869
PFSI,2021-03-09,6,False,False,-5.87422529493854,-2.327014604027797
CRC,2021-03-10,3,False,False,-6.654212219307009,-9.96264879358118
FSLY,2021-03-10,5,False,False,-46.44881092663356,-1.1466661484640297
DASH,2021-03-11,3,False,False,-32.62223519554951,-7.378798210997186
APO,2021-03-11,3,False,False,-8.991130961433857,-0.6764151981386177
HAYW,2021-03-16,4,True,True,,3.1854435903568525
FEIM,2021-03-16,3,False,False,-4.4117649950690785,2.141187699162499
GOCO,2021-03-17,3,True,False,-46.997272208086,-11.048202196852564
MRKR,2021-03-18,16,True,False,-45.28875633686117,3.2492966881935543
MBIN,2021-03-18,5,False,False,-9.499778464965248,-0.4329011148534584
SLDB,2021-03-23,7,False,False,-48.60074629521258,-0.5569973822597027
FPH,2021-03-24,7,False,False,-9.189845064257119,-2.748415206324546
TIL,2021-03-25,7,True,False,,-13.623053166876694
MOVE,2021-03-25,7,True,True,,-3.2969021549031767
FNCH,2021-03-25,5,False,False,,-3.356742580435092
BW,2021-03-26,6,True,True,0.0,4.527753370543877
DOCN,2021-03-30,6,False,False,,-1.2357828079527626
EWTX,2021-03-30,4,False,False,,-10.281044880448224
DSGN,2021-04-01,15,False,False,,-10.847755601548348
QS,2021-04-01,3,False,False,-62.5579099850796,-8.554315277779502
KFS,2021-04-01,6,True,True,-14.098975009369784,-5.740053251261638
TDUP,2021-04-01,4,False,False,,-17.061604727594016
CTOS,2021-04-05,20,False,True,-2.245989621167943,2.33276077413767
PACK,2021-04-05,10,False,False,-0.5164258541922373,-3.0097126974910915
COUR,2021-04-07,22,False,False,,-13.967212451017655
COMP,2021-04-08,5,True,False,,4.481515214107708
CRNX,2021-04-09,3,False,False,-26.517434217818725,-3.5861944144450204
MCHX,2021-04-13,3,False,False,-19.834710906644748,-2.2368573193877355
NUVB,2021-04-13,7,False,False,-26.630063113997405,-11.670241453859138
RXRX,2021-04-20,6,False,False,,-3.758610645772688
BMEA,2021-04-22,4,False,False,,0.2152201794627208
NPCE,2021-04-23,6,False,False,,-7.712065854935825
RAIN,2021-04-27,9,False,False,,-36.44602174732455
SWIM,2021-04-28,7,True,True,,-2.508182116728229
MPB,2021-05-03,7,True,True,-6.970435343918724,3.415499519643172
TZOO,2021-05-03,3,True,False,-8.287897737826299,-0.3322266979609762
WHG,2021-05-03,6,False,False,-13.530533161100944,3.414941755954371
ALDX,2021-05-04,3,False,False,-19.259262874635052,5.215897816531568
HOWL,2021-05-04,15,False,False,,-17.982786002152068
PRVA,2021-05-05,11,False,False,,-4.878177462035354
FSBC,2021-05-06,16,True,True,,2.9655158066502354
AVTR,2021-05-07,11,False,False,-6.498952129261459,4.03277796345946
FSLY,2021-05-10,5,False,False,-67.22812961217709,-9.075712802489717
SNOW,2021-05-10,7,False,False,-50.30256222455929,5.23816721867039
VST,2021-05-10,4,True,True,-32.269277325657356,-2.826998936207889
CWH,2021-05-11,4,False,False,-9.988640955687666,-0.0839890682009005
PFSI,2021-05-12,6,False,False,-18.31843842118711,4.639229219162602
BH,2021-05-13,4,True,False,-2.642635044515651,12.136702905427928
TELA,2021-05-13,4,False,False,-48.252987645172766,6.989448288183322
VFLEX,2021-05-14,5,False,False,0.0,0.4020304982794274
ELOX,2021-05-17,8,False,False,,1.7910001940468656
VERA,2021-05-18,11,False,False,,27.561555118590235
LFMD,2021-05-19,3,True,True,-66.18657878336502,-10.228384002999666
APP,2021-05-19,4,True,True,,0.147747626672246
GEG,2021-05-20,3,False,False,-38.77550896283542,-7.431303784178292
BRN,2021-05-21,3,False,False,-48.958334308564176,2.917434695135003
GDRX,2021-05-21,6,False,False,-46.046185733179016,14.152978533069764
PTON,2021-05-24,18,False,False,-39.5771086080005,9.161312021237292
CRCT,2021-05-24,5,False,False,-4.430168548720303,18.60410219900861
QRHC,2021-05-25,8,False,False,-4.123707488614647,9.806864139183917
IMNM,2021-05-26,5,True,False,-54.602223869611464,-15.85692304676821
PCOR,2021-05-26,22,False,False,,-0.9695386670815186
COTY,2021-05-28,6,False,False,-13.829789981365536,-1.0424682648082997
PAY,2021-05-28,4,False,True,,-10.994178129803442
BKSC,2021-05-28,4,False,False,-12.821399434293056,-0.5504741303999205
UONE,2021-06-01,3,False,False,-76.41873320272146,62.28805234375773
GCO,2021-06-03,3,False,False,-0.5658402230525161,-0.978491749602773
CNTA,2021-06-03,10,False,True,,-4.487790710479083
RVPH,2021-06-03,5,False,False,-49.52581585278823,-5.480930828098954
RM,2021-06-04,8,False,False,-5.31508228298555,-1.9284297278493887
CYCN,2021-06-07,4,True,False,-62.4553046160746,3.928435208133027
LMB,2021-06-08,4,False,False,-40.407899097972376,-3.40120409956677
GPOR,2021-06-10,3,False,False,,-1.6994807844006907
REVG,2021-06-11,3,True,True,,-6.839284557018533
CWEN,2021-06-11,4,True,False,-20.505935435310096,-1.259727031383297
NAUT,2021-06-11,3,False,False,-53.41061227335886,-4.818434341777946
KFS,2021-06-14,6,True,True,-7.563029101135688,-3.670031005575421
MQ,2021-06-15,6,False,False,,-3.134084664937701
JANX,2021-06-16,13,False,True,,23.906783276159416
UHAL,2021-06-16,4,False,False,-15.419307218138101,3.2678146429011243
HOWL,2021-06-16,4,False,False,-15.990162022577803,-1.1449265102296953
IPSC,2021-06-23,9,False,False,,15.686104832716424
ATAI,2021-06-24,9,False,True,,4.240332562894594
FEMY,2021-06-24,4,False,False,,-5.573803448684706
DOCS,2021-06-28,6,False,False,,-16.388605118098965
CXM,2021-06-29,35,True,False,,-5.6718960199378206
DCTH,2021-06-30,3,True,False,-47.03905947282997,-12.050605358134202
VINC,2021-06-30,3,True,True,-49.84556220212959,-7.962118988839591
KOD,2021-06-30,6,False,False,-43.45473380570915,-3.115632744696362
GLUE,2021-06-30,27,False,False,,-10.860252078384477
LRMR,2021-07-02,9,False,False,-60.53471446891414,-0.5211365278233433
CVRX,2021-07-02,3,False,False,,-10.295515565197125
S,2021-07-02,5,False,False,,1.2232467203254
INTA,2021-07-06,4,False,False,,-3.222810217262703
KYMR,2021-07-06,10,False,False,-38.11909673113069,-7.031330608855897
RAIN,2021-07-06,10,False,False,,-36.44602174732455
SOWG,2021-07-07,4,False,True,-15.662650602409634,-6.5679043755097215
ECOR,2021-07-07,3,True,False,-66.88524673545295,-3.10372239499183
DNUT,2021-07-08,8,False,False,,-11.12443504370898
ABOS,2021-07-08,13,False,False,,-8.288831111486733
CMCT,2021-07-09,4,False,False,-45.8866116341966,-4.655196486388915
BHR,2021-07-13,3,False,False,-26.373630645132074,-4.78798821294986
GCMG,2021-07-13,5,False,False,-26.451850402817946,3.06302148862748
NECB,2021-07-14,3,True,True,-14.32002285087811,-0.0483087185032323
ANIX,2021-07-16,3,True,False,-44.25770177174393,1.675395849417943
IMRA,2021-07-16,4,False,False,,6.921597337329239
RPID,2021-07-20,6,False,False,,-3.2980080045355216
AFIB,2021-07-21,10,False,False,-61.72642957927286,-8.122343281732604
TCRX,2021-07-22,7,False,True,,-3.3486227672151267
HCWB,2021-07-23,5,True,True,,-7.412350667855312
SSB,2021-07-26,3,True,True,-21.908107908204634,-1.841729130993866
KLTR,2021-07-27,8,False,False,,11.605962742224197
ABSI,2021-07-28,11,True,False,,-11.323881406564578
RYAN,2021-07-28,8,False,False,,-1.254221236696744
PHGE,2021-07-30,3,True,False,-47.38728308844501,-5.92525054724106
RLYB,2021-08-02,7,False,False,,-2.3076446124083567
WHLM,2021-08-02,5,False,False,-59.53703881127678,-11.35144188652136
CADL,2021-08-02,5,True,True,,0.4445283104545817
MXCT,2021-08-03,4,False,False,,7.46275641733524
COOK,2021-08-04,4,False,False,,-0.5592963146095463
